FID,SHAPE,NAME,SE_SDO_ROWID,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.538175,POINT (16.329939833238093 48.234242087322514),Trinkbrunnen mit Tränke,538175,
TRINKBRUNNENOGD.538176,POINT (16.337578640423622 48.23457960533409),Trinkbrunnen mit Tränke,538176,
TRINKBRUNNENOGD.538177,POINT (16.310966106061766 48.18786688995527),Trinkbrunnen mit Tränke,538177,
TRINKBRUNNENOGD.538178,POINT (16.251628983099874 48.20203332539978),Trinkbrunnen,538178,
TRINKBRUNNENOGD.538179,POINT (16.354469916682426 48.18976285869092),Trinkbrunnen,538179,
TRINKBRUNNENOGD.538180,POINT (16.399669713908935 48.25159801743993),Trinkbrunnen,538180,
TRINKBRUNNENOGD.538181,POINT (16.389861221268422 48.25640443763991),Trinkbrunnen,538181,
TRINKBRUNNENOGD.538182,POINT (16.395019398492494 48.25266370473459),Trinkbrunnen,538182,
TRINKBRUNNENOGD.538183,POINT (16.411690040400202 48.25161272502459),Spielbrunnen,538183,
TRINKBRUNNENOGD.538184,POINT (16.4151333124603 48.25268077996046),Trinkbrunnen,538184,
TRINKBRUNNENOGD.538185,POINT (16.398359924964637 48.26442540051378),Trinkbrunnen,538185,
TRINKBRUNNENOGD.538186,POINT (16.388828287127403 48.26681147319529),Spielbrunnen,538186,
TRINKBRUNNENOGD.538187,POINT (16.38401745840749 48.2698566500425),Trinkbrunnen,538187,
TRINKBRUNNENOGD.538188,POINT (16.399794747227375 48.254953104528724),Trinkbrunnen mit Tränke,538188,
